THD,T,Epsilon,Time
16,64,0.001,5.7026
16,64,0.001,5.70274
16,64,0.001,5.70757
16,64,0.001,5.70171
16,64,0.001,5.702
16,64,0.001,5.70455
16,64,0.001,5.70167
16,64,0.001,5.70604
16,64,0.001,5.7032
16,64,0.001,5.7066
16,64,0.001,5.70627
16,64,0.001,5.70542
16,64,0.001,5.70282
16,64,0.001,5.70503
16,64,0.001,5.70664
16,64,0.001,5.70402
16,64,0.001,5.70805
16,64,0.001,5.70688
16,64,0.001,5.70703
16,64,0.001,5.70602
16,64,0.001,5.70732
16,128,0.15,2.61722
16,128,0.15,2.61771
16,128,0.15,2.64384
16,128,0.15,2.59446
16,128,0.15,2.59444
16,128,0.15,2.59589
16,128,0.15,2.59315
16,128,0.15,2.59318
16,128,0.15,2.5933
16,128,0.15,2.59279
16,128,0.15,2.5935
16,128,0.15,2.59664
16,128,0.15,2.59297
16,128,0.15,2.59315
16,128,0.15,2.59259
16,128,0.15,2.59507
16,128,0.15,2.59516
16,128,0.15,2.59465
16,128,0.15,2.59471
16,128,0.15,2.59397
16,128,0.15,2.5943
16,128,0.15,2.59345
16,128,0.15,2.59316
16,128,0.15,2.59368
16,128,0.15,2.59468
16,128,0.15,2.59631
16,128,0.15,2.59638
16,128,0.15,2.59648
16,128,0.15,2.59505
16,128,0.15,2.59531
16,128,0.15,2.59544
16,128,0.15,2.59569
16,128,0.15,2.59576
16,128,0.15,2.59574
16,128,0.15,2.59553
16,128,0.15,2.59485
16,128,0.15,2.59343
16,128,0.15,2.59302
16,128,0.15,2.59426
16,128,0.15,2.59407
16,128,0.15,2.5964
16,128,0.15,2.59449
16,128,0.15,2.59364
16,128,0.15,2.59589
16,128,0.15,2.59735
16,128,0.15,2.5996
