THD,T,Time
4,1,0.0153721
4,1,0.0154555
4,1,0.0154032
4,1,0.0152213
4,1,0.01545
4,1,0.0152737
4,1,0.0152657
4,1,0.0155161
4,1,0.0154884
4,1,0.0152622
4,2,0.0357578
4,2,0.0358006
4,2,0.0358672
4,2,0.0359454
4,2,0.0359815
4,2,0.0360209
4,2,0.0359511
4,2,0.0360248
4,2,0.0359725
4,2,0.0360461
4,2,0.0359769
4,2,0.0359529
4,2,0.0360234
4,2,0.0359473
4,2,0.0359967
4,2,0.0360312
4,2,0.0360067
4,2,0.0359975
4,2,0.0360341
4,2,0.0360201
4,2,0.0360484
4,2,0.0359111
4,2,0.0360046
4,2,0.0359412
4,2,0.0359242
4,2,0.0359951
4,2,0.0359728
4,2,0.0359685
4,2,0.035985
4,2,0.0358588
4,2,0.0359331
4,2,0.0359448
4,2,0.0359064
4,2,0.0359657
4,2,0.0359524
4,2,0.0360487
4,2,0.0360188
4,2,0.0360452
4,2,0.0359437
4,2,0.0359849
4,2,0.0359882
4,2,0.0360238
4,2,0.0359789
4,2,0.0359833
4,2,0.036001
4,2,0.0360123
4,2,0.0360482
4,2,0.0360699
4,2,0.0360487
4,2,0.0359974
4,3,0.128034
4,3,0.12801
4,3,0.128134
4,3,0.127763
4,3,0.127714
4,3,0.127916
4,3,0.128003
4,3,0.128
4,3,0.127859
4,3,0.127981
4,3,0.127856
4,3,0.12816
4,3,0.128093
4,3,0.12806
4,3,0.127901
4,3,0.128071
4,3,0.128261
4,3,0.127424
4,3,0.127942
4,3,0.127975
4,3,0.128001
4,3,0.128021
4,3,0.127999
4,3,0.128128
4,3,0.128157
4,3,0.128263
4,3,0.128157
4,3,0.127981
4,3,0.127981
4,3,0.128074
4,3,0.127943
4,3,0.128355
4,3,0.128078
4,3,0.127893
4,3,0.128295
4,3,0.127748
4,3,0.128159
4,3,0.127894
4,3,0.127794
4,3,0.127936
4,3,0.127986
4,3,0.128289
4,3,0.127611
4,3,0.12824
4,3,0.128179
4,3,0.128321
4,3,0.127732
4,3,0.1283
4,3,0.128321
4,3,0.128337
4,4,0.483278
4,4,0.483842
4,4,0.48319
4,4,0.483658
4,4,0.483468
4,4,0.483688
4,4,0.483414
4,4,0.483365
4,4,0.483748
4,4,0.48367
4,4,0.483896
4,4,0.483796
4,4,0.483351
4,4,0.483061
4,4,0.483547
4,4,0.483325
4,4,0.483297
4,4,0.483324
4,4,0.483518
4,4,0.483299
4,4,0.483187
4,4,0.48311
4,4,0.483533
4,4,0.483174
4,4,0.483291
4,4,0.483174
4,4,0.483265
4,4,0.483106
4,4,0.483565
4,4,0.483384
4,4,0.483063
4,4,0.483091
4,4,0.482913
4,4,0.483041
4,4,0.483229
4,4,0.48321
4,4,0.482982
4,4,0.483509
4,4,0.482969
4,4,0.483018
4,4,0.483349
4,4,0.483094
4,4,0.482774
4,4,0.482964
4,4,0.482482
4,4,0.483025
4,4,0.482928
4,4,0.482512
4,4,0.482675
4,4,0.482754
4,5,1.94757
4,5,1.94972
4,5,1.94599
4,5,1.94687
4,5,1.94648
4,5,1.94738
4,5,1.94804
4,5,1.94615
4,5,1.94934
4,5,1.94807
4,5,1.94917
4,5,1.94757
4,5,1.94768
4,5,1.9462
4,5,1.94704
4,5,1.94757
4,5,1.94729
4,5,1.9474
4,5,1.94539
4,5,1.94656
4,5,1.94986
4,5,1.94624
4,5,1.94663
4,5,1.94672
4,5,1.95016
4,5,1.94781
4,5,1.94738
4,5,1.94502
4,5,1.94727
4,5,1.94689
4,5,1.94601
4,5,1.94725
4,5,1.94474
4,5,1.94483
4,5,1.94468
4,5,1.94844
4,5,1.94679
4,5,1.94517
4,5,1.94559
4,5,1.94944
4,5,1.94682
4,5,1.94679
4,5,1.94654
4,5,1.94916
4,5,1.94704
4,5,1.94637
4,5,1.94657
4,5,1.94498
4,5,1.94616
4,5,1.94736
4,6,7.69348
4,6,7.6809
4,6,7.65329
4,6,7.64026
4,6,7.63916
